"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Should update particular booking ID","firefox","2026-08-13","passed","2026-08-13","test PUT responses for bookings @API","api/updateBooking.spec.ts","",""
"","11","Should get particular booking ID","webkit","2026-08-13","passed","2026-08-13","test GET responses for bookings @API","api/getBooking.spec.ts","",""
"","2","Should DELETE not existing booking from local SQLite","chromium","2026-08-13","passed","2026-08-13","Test Delete Booking Record @DB","db/booking/deleteBooking.spec.ts","",""
"","24","Should get token correctly","chromium","2026-08-13","passed","2026-08-13","test login responses for bookings @API","api/login.spec.ts","",""
"","12","Should show error message","webkit","2026-08-13","passed","2026-08-13","test login responses for bookings @API","api/login.spec.ts","",""
"","52","authentication","setup","2026-08-13","passed","2026-08-13","","auth/auth.setup.ts","",""
"","12","Should show error message","chromium","2026-08-13","passed","2026-08-13","test login responses for bookings @API","api/login.spec.ts","",""
"","1","Should UPDATE not existing booking from local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/updateBooking.spec.ts","",""
"","10","Should throw a not found error","webkit","2026-08-13","passed","2026-08-13","test GET responses for bookings @API","api/getBooking.spec.ts","",""
"","5","Should SELECT existing booking from local SQLite","webkit","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/getBooking.spec.ts","",""
"","33","Should update particular booking ID","chromium","2026-08-13","passed","2026-08-13","test PUT responses for bookings @API","api/updateBooking.spec.ts","",""
"","3","Should SELECT existing booking with payments only from local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Select Booking Records with Payments @DB","db/booking/getBookingsWithPayments.spec.ts","",""
"","5","Should SELECT existing booking from local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/getBooking.spec.ts","",""
"","2","Should throws SQLITE_CONSTRAINT while inserting invalid booking to the local SQLite","chromium","2026-08-13","passed","2026-08-13","Test Insert Booking Record @DB","db/booking/insertBooking.spec.ts","",""
"","11","Should get particular booking ID","firefox","2026-08-13","passed","2026-08-13","test GET responses for bookings @API","api/getBooking.spec.ts","",""
"","18","Should throw an error if particular booking ID is invalid","webkit","2026-08-13","passed","2026-08-13","test DELETE responses for bookings @API","api/deleteBooking.spec.ts","",""
"","6","Should insert valid booking to the local SQLite","webkit","2026-08-13","passed","2026-08-13","Test Insert Booking Record @DB","db/booking/insertBooking.spec.ts","",""
"","4","Should DELETE existing booking from local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Delete Booking Record @DB","db/booking/deleteBooking.spec.ts","",""
"","60","Should create a booking via API and store a copy in local SQLite","chromium","2026-08-13","passed","2026-08-13","API + SQLite Tests","api_sqlite_booking.spec.ts","",""
"","3","Should DELETE existing booking from local SQLite","chromium","2026-08-13","passed","2026-08-13","Test Delete Booking Record @DB","db/booking/deleteBooking.spec.ts","",""
"","2","Should SELECT existing payments and bookings from local SQLite","webkit","2026-08-13","passed","2026-08-13","Test Select Booking Records with Payments @DB","db/booking/getBookingsWithPayments.spec.ts","",""
"","93","Should delete particular booking ID","firefox","2026-08-13","passed","2026-08-13","test DELETE responses for bookings @API","api/deleteBooking.spec.ts","",""
